input_count,fittest_count,fittest_correctness
45,12,75.0
69,18,94.44
43,11,100.0
72,18,100.0
82,21,76.19
42,11,90.91
91,23,100.0
99,25,100.0
99,25,100.0
99,25,64.0
45,12,75.0
85,22,90.91
89,23,100.0
84,21,52.38
95,24,95.83
95,24,100.0
90,23,100.0
99,25,100.0
100,25,100.0
96,24,95.83
45,12,83.33
76,19,100.0
25,7,100.0
60,15,100.0
61,16,100.0
37,10,100.0
97,25,100.0
100,25,100.0
99,25,100.0
98,25,100.0
45,12,91.67
68,17,100.0
74,19,100.0
41,11,100.0
80,20,100.0
95,24,41.67
100,25,80.0
97,25,100.0
99,25,56.0
99,25,100.0
45,12,83.33
71,18,94.44
42,11,100.0
76,19,100.0
84,21,100.0
97,25,100.0
42,11,100.0
80,20,100.0
91,23,100.0
95,24,100.0
45,12,75.0
79,20,100.0
90,23,100.0
55,14,100.0
63,16,100.0
49,13,100.0
10,3,100.0
18,5,100.0
14,4,100.0
15,4,100.0
45,12,75.0
76,19,100.0
32,8,100.0
95,24,100.0
100,25,100.0
100,25,100.0
97,25,100.0
94,24,100.0
96,24,100.0
67,17,100.0
45,12,75.0
72,18,100.0
55,14,100.0
82,21,100.0
86,22,100.0
84,21,100.0
91,23,100.0
97,25,80.0
85,22,4.55
96,24,16.67
45,12,75.0
71,18,100.0
65,17,100.0
67,17,100.0
40,10,100.0
31,8,100.0
42,11,100.0
65,17,0.0
84,21,0.0
98,25,0.0
45,12,66.67
86,22,95.45
58,15,100.0
90,23,95.65
59,15,100.0
65,17,100.0
86,22,100.0
82,21,100.0
59,15,100.0
76,19,100.0
45,12,83.33
80,20,95.0
24,6,83.33
58,15,100.0
89,23,100.0
91,23,100.0
97,25,100.0
92,23,100.0
84,21,100.0
74,19,100.0
45,12,91.67
67,17,100.0
69,18,100.0
90,23,100.0
98,25,44.0
90,23,73.91
96,24,8.33
91,23,34.78
90,23,69.57
95,24,100.0
45,12,66.67
83,21,95.24
58,15,100.0
63,16,100.0
79,20,100.0
60,15,100.0
84,21,100.0
18,5,100.0
37,10,100.0
29,8,100.0
45,12,91.67
78,20,100.0
69,18,100.0
84,21,100.0
95,24,50.0
95,24,45.83
97,25,76.0
97,25,76.0
99,25,56.0
99,25,20.0
45,12,91.67
72,18,100.0
64,16,100.0
91,23,100.0
100,25,0.0
99,25,0.0
99,25,0.0
100,25,0.0
99,25,0.0
100,25,0.0
45,12,75.0
71,18,83.33
66,17,100.0
85,22,100.0
94,24,100.0
93,24,100.0
97,25,100.0
99,25,72.0
99,25,96.0
98,25,100.0
45,12,83.33
73,19,100.0
69,18,100.0
100,25,100.0
100,25,100.0
88,22,100.0
92,23,100.0
62,16,100.0
71,18,100.0
90,23,100.0
45,12,75.0
62,16,93.75
77,20,100.0
49,13,100.0
61,16,100.0
83,21,100.0
43,11,100.0
56,14,100.0
82,21,100.0
87,22,100.0
45,12,91.67
63,16,100.0
68,17,100.0
85,22,100.0
79,20,100.0
89,23,100.0
96,24,100.0
99,25,84.0
91,23,100.0
93,24,100.0
45,12,83.33
68,17,88.24
68,17,100.0
90,23,100.0
96,24,100.0
80,20,100.0
91,23,100.0
39,10,100.0
78,20,100.0
97,25,100.0
45,12,66.67
83,21,95.24
97,25,100.0
81,21,100.0
92,23,100.0
92,23,95.65
85,22,31.82
91,23,65.22
96,24,100.0
83,21,100.0
45,12,75.0
81,21,95.24
59,15,100.0
38,10,100.0
66,17,100.0
96,24,100.0
71,18,100.0
93,24,100.0
100,25,100.0
99,25,100.0
45,12,75.0
73,19,100.0
52,13,100.0
88,22,40.91
91,23,95.65
52,13,100.0
78,20,100.0
91,23,73.91
89,23,100.0
88,22,100.0
45,12,75.0
75,19,94.74
68,17,100.0
98,25,100.0
93,24,100.0
99,25,100.0
97,25,100.0
99,25,100.0
100,25,100.0
9,3,100.0
45,12,58.33
77,20,90.0
71,18,100.0
84,21,100.0
90,23,100.0
61,16,100.0
87,22,100.0
76,19,100.0
89,23,100.0
81,21,100.0
45,12,91.67
73,19,100.0
35,9,100.0
47,12,100.0
76,19,100.0
89,23,100.0
94,24,100.0
91,23,100.0
89,23,100.0
97,25,92.0
45,12,75.0
69,18,100.0
59,15,100.0
68,17,100.0
92,23,56.52
54,14,78.57
84,21,100.0
57,15,100.0
59,15,100.0
84,21,76.19
45,12,75.0
71,18,88.89
72,18,22.22
77,20,70.0
75,19,100.0
33,9,100.0
81,21,100.0
96,24,100.0
92,23,100.0
94,24,75.0
45,12,83.33
71,18,100.0
75,19,68.42
90,23,100.0
92,23,100.0
63,16,100.0
74,19,100.0
69,18,100.0
79,20,100.0
78,20,100.0
45,12,66.67
88,22,100.0
42,11,100.0
82,21,100.0
97,25,88.0
40,10,100.0
79,20,100.0
83,21,100.0
92,23,100.0
92,23,100.0
